KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Artiodactyla.Bovidae.Capricornis.milneedwardsii	Artiodactyla.Bovidae.Pseudoryx.UNK	Artiodactyla.Cervidae.Muntiacus.muntjak_vaginalis	Artiodactyla.Cervidae.Muntiacus.truongsonensis	Artiodactyla.Cervidae.Muntiacus.UNK	Artiodactyla.Cervidae.Muntiacus.vuquangensis	Artiodactyla.Cervidae.Rusa.unicolor	Artiodactyla.Suidae.Sus.scrofa	Artiodactyla.Tragulidae.Tragulus.kanchil	Artiodactyla.Tragulidae.Tragulus.UNK
WWF102	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	20/9/2012	347	42-Hoa	10	H-42	     0	     0	     8	     0	     0	     0	     0	155042	     0	     0
WWF103	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	18/6/2012	353	5-Dành	40	H-48	139920	     0	     0	     0	  5319	     0	  2690	 17737	     0	     0
WWF105	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41098	404	14-Dành	10	H-57	   74	    0	    0	    0	    0	    0	 2249	14814	    0	    0
WWF106	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41133	348	23-Dành	3	H-66	     0	     0	    15	     0	     0	     0	     0	308948	     0	     0
WWF107	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	22/8/2012	404	26-Dành	5	H-69	     9	     0	 31925	    75	   331	     0	     0	188898	     0	     0
WWF108	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41155	350	30-Dành	5	H-73	3289	   0	   0	   0	 604	   0	   0	   3	   0	   0
WWF109	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	24/04/2012	405	35-Dành	30	H-78	 1548	    0	  256	    0	    0	    0	12836	 1778	    0	    0
WWF11	tube_labels	Vietnam	QNSL	QNSL	Quang Nam SNR	NA	NA	TK20_20120819	NA	NA	20670	12881	    0	    5	    0	    0	 1450	 4840	    0	    0
WWF110	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41068	404	2-Thien	25	H-83	     5	     0	  9119	    26	   644	     0	 85317	155247	     0	     0
WWF111	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	16/6/2012	348	6-Thien	25	H-87	   334	     0	     0	   851	     6	     0	     0	126939	     0	     0
WWF112	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	15/07/2012	353	11-Thien	7	H-92	    42	     0	     0	     0	     0	     0	     4	282913	     0	     0
WWF113	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	28/07/2012	405	12-Thien	15	H-93	   150	     0	  1187	     5	    10	     0	     0	118591	     0	     0
WWF114	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41126	345	17-Thien	2	H-98	    0	    0	    0	    0	    0	    0	    0	63548	    0	    0
WWF115	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	20/08/2012	404	19-Thien	10	H-100	  0	  0	865	  0	  0	  0	  0	112	  0	  0
WWF116	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41162	349 and 351	Thien-24	8	H-105	    0	    0	    0	    0	    0	    0	    0	34211	    0	    0
WWF117	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41163	349	Thien-25	12	H-106	 2240	    0	    0	    0	    0	    0	    9	45723	    0	    0
WWF118	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41066	346	1 -Vinh	25	H-113	195129	     0	     0	     0	   701	     0	 24108	262543	     0	     0
WWF119	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	HueSaoLaNR	41071	345	6 -Vinh	20	H-118	  2957	     0	    18	136160	  2041	     0	     0	106703	     0	     0
