KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Carnivora.Canidae.Canis.lupus_familiaris	Carnivora.Felidae.Catopuma.UNK	Carnivora.Felidae.Neofelis.UNK	Carnivora.Felidae.Prionailurus.bengalensis	Carnivora.Felidae.UNK	Carnivora.Herpestidae.Herpestes.UNK	Carnivora.Mustelidae.Aonyx.cinereus	Carnivora.Mustelidae.Arctonyx.collaris	Carnivora.Mustelidae.Lutra.lutra	Carnivora.Mustelidae.Martes.flavigula	Carnivora.Mustelidae.Melogale.moschata	Carnivora.Mustelidae.Mustela.kathiah	Carnivora.Mustelidae.Mustela.UNK	Carnivora.Ursidae.Ursus.thibetanus	Carnivora.Viverridae.Arctictis.UNK	Carnivora.Viverridae.Paguma.larvata	Carnivora.Viverridae.Viverra.UNK1	Carnivora.Viverridae.Viverra.UNK2	Carnivora.Viverridae.Viverra.UNK3	Carnivora.Viverridae.Viverra.UNK4	reservecode3
WWF357	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41576	21	NA	50	Q203	     0	     0	     0	     0	  1549	  9423	     0	     0	     0	     0	353307	     0	     0	     0	     0	     0	     0	     0	     0	     0	BMHQNXS
WWF358	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	41576	21	NA	50	Q301	   55	    0	    3	    0	  519	   12	    0	    0	68986	    0	 7023	  217	    9	    0	    0	   13	    0	    0	    0	    0	BMHQNXS
WWF359	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41577	21	NA	50	Q02	     0	     0	     0	     0	  1995	 10103	     0	     0	     0	     0	148473	     0	     0	     0	     0	   784	     0	     0	     0	     0	BMHQNXS
WWF36	tube_labels	Vietnam	HSL	HSL	HueSaoLaNR	NA	NA	H64	NA	NA	  110	    0	54004	   34	    0	 4814	    0	    0	    0	    0	    0	    0	    0	    0	   66	    0	    0	    0	    0	    0	BMHQNXS
WWF360	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41577	21	NA	50	Q103	    3	    0	    0	    0	  179	   16	    0	    0	    0	    0	37494	    0	    0	    0	    0	   32	    0	    0	    0	    0	BMHQNXS
WWF361	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41577	21	NA	50	Q105	     0	     0	     0	     0	   743	     0	     0	     0	     0	     0	116559	     0	     0	     0	     0	 29046	     0	     0	     0	     0	BMHQNXS
WWF363	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41577	21	NA	50	Q205	   0	   0	1444	   0	 129	  94	   0	   0	   7	   0	8815	   0	   0	   0	   0	   6	   0	   0	   0	   0	BMHQNXS
WWF364	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41578	21	NA	50	Q03	    0	    0	    0	    0	    0	17900	    0	    0	    0	    0	 5106	    0	    0	    0	    0	    0	    0	    0	    0	    0	BMHQNXS
WWF365	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41578	21	NA	50	Q107	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	404	  0	  0	  0	  0	 93	  0	  0	  0	  0	BMHQNXS
WWF366	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41578	21	NA	50	Q109	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	5139	   0	   0	   0	   0	   0	   0	   0	   0	   0	BMHQNXS
