KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	reservecode3	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Chiroptera.Vespertilionidae.Tylonycteris.UNK	Erinaceomorpha.Erinaceidae.Hylomys.suillus	Lagomorpha.Leporidae.Nesolagus.timminsi	Rodentia.Hystricidae.Hystrix.UNK	Rodentia.Muridae.Mus.musculus	Rodentia.Muridae.Niviventer.UNK	Rodentia.Sciuridae.Callosciurus.erythraeus	Rodentia.Sciuridae.Callosciurus.UNK1	Rodentia.Sciuridae.Callosciurus.UNK2	Rodentia.Sciuridae.Hylopetes.UNK1	Rodentia.Sciuridae.Hylopetes.UNK2	Rodentia.Sciuridae.Petaurista.philippensis	Rodentia.Sciuridae.Ratufa.bicolor	Rodentia.Sciuridae.Tamiops.UNK	Rodentia.Spalacidae.Rhizomys.pruinosus	Scandentia.Tupaiidae.Tupaia.belangeri	Soricomorpha.Talpidae.Euroscaptor.UNK
SWG19	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 10	NA	NA	9	NA	     0	     0	     0	     0	     0	163450	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0
SWG2	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29 09	NA	NA	46	NA	  0	  0	  7	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	169	  0	  0	  0
SWG20	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 10	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG21	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	158	NA	  0	  0	  0	  0	  0	156	  0	  0	  0	  0	  0	  0	  0	 18	  0	 27	  0
SWG22	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	152	NA	   0	   0	   0	   0	   0	  59	  27	   0	   0	   0	   0	   0	   0	  47	3776	   0	   0
SWG23	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	6 10	NA	NA	28	NA	    0	    0	    0	    0	    0	72462	    0	    0	    0	    0	    0	    0	    0	    4	    0	39228	    0
SWG24	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	4-6 10	NA	NA	83	NA	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	324	  0	  0	  0
SWG25	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	31	NA	  0	  0	  0	  0	  0	276	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
SWG26	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 -6 10	NA	NA	24	NA	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	6243	   0	   0	   0
SWG27	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 10	NA	NA	1	NA	  0	  0	  0	  0	  0	226	  0	  0	  0	  0	  0	  0	  0	  5	  0	  0	  0
SWG28	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	6 10	NA	NA	22	NA	  0	  0	  0	  0	  0	213	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
SWG29	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	14	NA	   0	   0	   0	   0	   0	1438	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
SWG3	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	30 09-01 10	NA	NA	70	NA	   0	   0	   8	   4	   0	1184	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
SWG30	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	7 10	NA	NA	33	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG31	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	8 10	NA	NA	37	NA	     0	     0	     0	     0	     0	240839	     0	     0	     0	     0	     0	     0	     0	  1894	     0	     0	     0
SWG34	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	7 10	NA	NA	71	NA	    0	    0	    0	    0	    0	61286	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
SWG35	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	6-8 10	NA	NA	40	NA	 0	32	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
SWG36	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	7 10	NA	NA	26	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
