taxid	lineage	name	rank	20180624110755_31.48.252.71.fa
81584	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Canidae;family;Canis;genus;Canis lupus;species;	Canis lupus	species	3
45467	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Canidae;family;Vulpes;genus;	Vulpes	genus	1
264488	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Canidae;family;Vulpes;genus;Vulpes ferrilata;species;	Vulpes ferrilata	species	1
-11631	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Canidae;family;Canis;genus;unclassified_Canis;;	unclassified_Canis		15
2228	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Felidae;family;	Felidae	family	15
36585	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Felidae;family;Prionailurus;genus;	Prionailurus	genus	1
222394	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Felidae;family;Prionailurus;genus;Prionailurus bengalensis;species;	Prionailurus bengalensis	species	1
-2229	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Felidae;family;unclassified_Felidae;;	unclassified_Felidae		14
-3303	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Mustelidae;family;unclassified_Mustelidae;;	unclassified_Mustelidae		18
5059	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Ursidae;family;	Ursidae	family	4
45117	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Ursidae;family;Ursus;genus;	Ursus	genus	4
263270	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Ursidae;family;Ursus;genus;Ursus thibetanus;species;	Ursus thibetanus	species	3
-45118	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Carnivora;order;Ursidae;family;Ursus;genus;unclassified_Ursus;;	unclassified_Ursus		1
